Game name,Category
Stardew Valley,Casual
Cities Skylines,Casual
Human Fall Flat,Casual
UNO,Casual
Deiland,Casual
Bloons TD 6,Casual
Plants vs. Zombies GOTY Edition,Casual
The Sims 3,Casual
Planet Zoo,Casual
Planet Coaster,Casual
Assassin's Creed,RPG
DARK SOULS3,RPG
Grim Dawn,RPG
MonsterHunter,RPG
MountBlade,RPG
My Time At Portia,RPG
NieR Automata,RPG
OCTOPATH TRAVELER,RPG
Slay the Spire,RPG
WITCHER3,RPG
Albion Online,Multi
Bloons TD Battles,Multi
Realm of the Mad God,Multi
Shakes and Fidget,Multi
The Elder Scrolls Online,Multi
The Lord of the Rings Online,Multi
Transformice,Multi
War Thunder,Multi
World of Tanks Blitz,Multi
World of Warships,Multi
Black Mesa,FPS
Bright Memory,FPS
Chivalry Medieval Warfare,FPS
Counter-Strike Global Offensive,FPS
Deep Rock Galactic,FPS
Deus Ex Human Revolution - Director's Cut,FPS
DOOM Eternal,FPS
Killing Floor 2,FPS
Team Fortress 2,FPS
Tom Clancy's Rainbow Six Siege,FPS
MiniState,Multi
Ostrofa,Multi
Soviet Jump Game,Multi
Astellia,RPG
Borderlands 3,RPG
Divinity Original Sin 2 Definitive Edition,RPG
Gordian Quest,RPG
GreedFall,RPG
Gujian3,RPG
Mount Blade 2 Bannerlord,RPG
The Elder Scrolls 5 Skyrim Special Edition,RPG
Thronebreaker The Witcher Tales,RPG
Wolcen Lords of Mayhem,RPG
Brawlhalla,ACT
CODE VEIN,ACT
Dead by Daylight,ACT
ONE PIECE PIRATE WARRIORS 4,ACT
Pummel Party,ACT
RESIDENT EVIL 2  BIOHAZARD RE2,ACT
Risk of Rain 2,ACT
The Witcher 3 Wild Hunt,ACT
Total War WARHAMMER II,ACT
We Happy Few,ACT
